fk_tempo,fk_regiao,fk_cultura,diagnostico_causa_risco,total_custeio_contratado,total_contratos,taxa_inadimplencia_referencia_bcb,taxa_selic_mensal
2021-11-01,12,12,Oscilações de Mercado / Custo de Insumos,11610206.686675057,106,1.73,0.59
2021-11-01,3,10,Oscilações de Mercado / Custo de Insumos,27602839.412813164,115,1.73,0.59
2021-11-01,9,2,Oscilações de Mercado / Custo de Insumos,3234754.937137221,189,1.73,0.59
2021-12-01,16,8,Oscilações de Mercado / Custo de Insumos,10874265.052388186,52,1.63,0.77
2021-12-01,12,12,Oscilações de Mercado / Custo de Insumos,17011414.777284738,43,1.63,0.77
2022-02-01,16,8,Oscilações de Mercado / Custo de Insumos,4077435.391699152,190,1.61,0.76
2022-03-01,16,6,Oscilações de Mercado / Custo de Insumos,6297997.289225551,43,1.77,0.93
2022-03-01,8,1,Oscilações de Mercado / Custo de Insumos,21136480.750370905,68,1.77,0.93
2022-04-01,8,1,Oscilações de Mercado / Custo de Insumos,25833615.67711076,201,1.78,0.83
2022-04-01,9,2,Oscilações de Mercado / Custo de Insumos,22498355.24034663,203,1.78,0.83
2022-05-01,13,13,Oscilações de Mercado / Custo de Insumos,26019180.318865098,129,1.79,1.03
2022-05-01,8,5,Oscilações de Mercado / Custo de Insumos,15487785.893064626,160,1.79,1.03
2022-06-01,7,1,Estiagem Severa (Quebra de Grãos / Soja),25012617.003788102,175,1.76,1.02
2022-06-01,1,11,Estiagem Severa (Quebra de Grãos / Soja),26233855.626941625,174,1.76,1.02
2022-08-01,5,7,Oscilações de Mercado / Custo de Insumos,27007595.681911703,212,1.94,1.17
2022-09-01,10,11,Estiagem Severa (Quebra de Grãos / Soja),6002482.759647889,73,2,1.07
2022-09-01,7,1,Estiagem Severa (Quebra de Grãos / Soja),23729749.203128207,27,2,1.07
2022-11-01,6,8,Estiagem Severa (Quebra de Grãos / Soja),18529379.82879904,115,2.21,1.02
2022-12-01,5,7,Oscilações de Mercado / Custo de Insumos,26759394.316614386,47,2.18,1.12
2023-01-01,8,5,Oscilações de Mercado / Custo de Insumos,3899008.975278489,141,2.38,1.12
2023-02-01,9,2,Oscilações de Mercado / Custo de Insumos,16034473.712118156,166,2.46,0.92
2023-04-01,10,11,Estiagem Severa (Quebra de Grãos / Soja),5618822.088012494,108,2.9,0.92
2023-05-01,4,9,Estiagem Severa (Quebra de Grãos / Soja),5560809.8854320925,59,3.1,1.12
2023-05-01,1,11,Estiagem Severa (Quebra de Grãos / Soja),5891492.733554957,22,3.1,1.12
2023-05-01,8,1,Oscilações de Mercado / Custo de Insumos,22642371.738445763,86,3.1,1.12
2023-07-01,16,6,Oscilações de Mercado / Custo de Insumos,4653660.556384364,168,3.34,1.07
2023-07-01,4,9,Estiagem Severa (Quebra de Grãos / Soja),12132371.484040776,29,3.34,1.07
2023-07-01,11,11,Estiagem Severa (Quebra de Grãos / Soja),23100226.35436165,101,3.34,1.07
2023-08-01,11,11,Estiagem Severa (Quebra de Grãos / Soja),12922618.540144682,50,3.5,1.14
2023-09-01,15,11,Oscilações de Mercado / Custo de Insumos,17169141.73519742,197,3.52,0.97
2023-09-01,5,7,Oscilações de Mercado / Custo de Insumos,5163930.383698082,38,3.52,0.97
2023-10-01,15,3,Oscilações de Mercado / Custo de Insumos,21073619.366550088,224,3.67,1
2023-10-01,10,11,Estiagem Severa (Quebra de Grãos / Soja),15948312.162638178,174,3.67,1
2023-10-01,7,1,Estiagem Severa (Quebra de Grãos / Soja),18852987.069036487,214,3.67,1
2023-10-01,6,8,Estiagem Severa (Quebra de Grãos / Soja),27846451.26399459,144,3.67,1
2023-11-01,11,11,Estiagem Severa (Quebra de Grãos / Soja),4882404.5460072365,156,3.75,0.92
2024-02-01,8,5,Oscilações de Mercado / Custo de Insumos,8430130.939380556,72,3.56,0.8
2024-03-01,13,13,Oscilações de Mercado / Custo de Insumos,3600276.2119786153,110,3.45,0.83
2024-03-01,3,10,Oscilações de Mercado / Custo de Insumos,2348757.9790099156,152,3.45,0.83
2024-04-01,15,11,Oscilações de Mercado / Custo de Insumos,9471937.361565277,178,3.54,0.89
2024-04-01,6,8,Oscilações de Mercado / Custo de Insumos,11550776.02454285,215,3.54,0.89
2024-05-01,14,1,Enchentes Históricas / Calamidade Hídrica,23067908.081881598,158,3.54,0.83
2024-06-01,13,13,Enchentes Históricas / Calamidade Hídrica,20025195.43821634,68,3.36,0.79
2024-09-01,4,9,Oscilações de Mercado / Custo de Insumos,4064324.801978718,21,3.19,0.84
2024-10-01,9,2,Oscilações de Mercado / Custo de Insumos,21557621.224283498,124,3.14,0.93
2024-11-01,5,7,Oscilações de Mercado / Custo de Insumos,12174426.383756317,151,3.09,0.79
2024-12-01,16,6,Oscilações de Mercado / Custo de Insumos,13336473.561250743,115,2.77,0.93
2024-12-01,10,11,Oscilações de Mercado / Custo de Insumos,27155203.980108786,212,2.77,0.93
2024-12-01,5,7,Oscilações de Mercado / Custo de Insumos,23361511.291002937,39,2.77,0.93
2025-01-01,8,1,Oscilações de Mercado / Custo de Insumos,3819443.91312827,101,3.12,1.01
2025-02-01,5,7,Oscilações de Mercado / Custo de Insumos,20341434.14986221,190,3.26,0.99
2025-02-01,9,4,Oscilações de Mercado / Custo de Insumos,9784478.699116692,87,3.26,0.99
2025-04-01,11,11,Oscilações de Mercado / Custo de Insumos,18340257.891010106,35,3.48,1.06
2025-04-01,1,11,Oscilações de Mercado / Custo de Insumos,5250368.087967409,213,3.48,1.06
2025-04-01,5,7,Oscilações de Mercado / Custo de Insumos,8846724.380653542,15,3.48,1.06
2025-05-01,15,11,Oscilações de Mercado / Custo de Insumos,13523665.302648395,49,3.48,1.14
2025-05-01,8,1,Oscilações de Mercado / Custo de Insumos,6128343.210651674,60,3.48,1.14
2025-06-01,15,3,Atraso de Transplante e Perda de Estufas,39982381.0314365,229,3.51,1.1
2025-08-01,1,11,Oscilações de Mercado / Custo de Insumos,19832784.977442212,45,3.78,1.16
2025-09-01,15,11,Oscilações de Mercado / Custo de Insumos,27865278.894154225,210,3.65,1.22
2025-09-01,1,11,Oscilações de Mercado / Custo de Insumos,13339563.37818551,101,3.65,1.22
2025-11-01,8,1,Oscilações de Mercado / Custo de Insumos,27942906.41886783,177,3.57,1.05
2025-11-01,9,2,Oscilações de Mercado / Custo de Insumos,27859794.408871945,22,3.57,1.05
2025-12-01,7,1,Oscilações de Mercado / Custo de Insumos,4535388.199399734,208,3.49,1.22
2026-01-01,1,11,Oscilações de Mercado / Custo de Insumos,19684571.196053144,162,3.76,1.16
2026-02-01,10,11,Oscilações de Mercado / Custo de Insumos,26439750.85028772,83,4.01,1
2026-07-01,13,13,Oscilações de Mercado / Custo de Insumos,22054932.892473612,22,4.19,1.22
2026-09-01,15,3,Atraso de Transplante e Perda de Estufas,24240123.972859617,364,3.2,0.85
2026-11-01,13,13,Oscilações de Mercado / Custo de Insumos,6521128.758157476,118,3.2,0.85
2026-12-01,15,11,Oscilações de Mercado / Custo de Insumos,13205494.602127189,189,3.2,0.85
2026-12-01,11,11,Oscilações de Mercado / Custo de Insumos,5058830.178522697,130,3.2,0.85
2020-01-01,6,8,Oscilações de Mercado / Custo de Insumos,27795942.8534299,206,2.41,0.38
2020-03-01,11,11,Oscilações de Mercado / Custo de Insumos,20915681.872457277,51,2.44,0.34
2020-03-01,14,1,Oscilações de Mercado / Custo de Insumos,18473952.775111046,110,2.44,0.34
2020-04-01,16,6,Oscilações de Mercado / Custo de Insumos,4563949.60755309,199,2.48,0.28
2020-04-01,10,11,Oscilações de Mercado / Custo de Insumos,22856208.414756797,42,2.48,0.28
2020-04-01,12,12,Oscilações de Mercado / Custo de Insumos,18769481.158183694,135,2.48,0.28
2020-04-01,1,11,Oscilações de Mercado / Custo de Insumos,23231986.86716932,135,2.48,0.28
2020-06-01,5,7,Oscilações de Mercado / Custo de Insumos,6013170.947138465,160,2.06,0.21
2020-07-01,13,13,Oscilações de Mercado / Custo de Insumos,26792928.71746779,172,1.94,0.19
2020-07-01,14,1,Oscilações de Mercado / Custo de Insumos,10465657.98236746,38,1.94,0.19
2020-08-01,9,2,Oscilações de Mercado / Custo de Insumos,10397599.887837976,100,1.74,0.16
2020-10-01,4,9,Oscilações de Mercado / Custo de Insumos,4266913.092636275,83,1.59,0.16
2021-01-01,3,10,Oscilações de Mercado / Custo de Insumos,3275145.8228641385,140,1.67,0.15
2021-02-01,4,9,Oscilações de Mercado / Custo de Insumos,18290244.319143876,61,1.65,0.13
2021-03-01,15,3,Oscilações de Mercado / Custo de Insumos,25029407.00177388,390,1.72,0.2
2021-03-01,12,12,Oscilações de Mercado / Custo de Insumos,11670561.012374047,191,1.72,0.2
2021-05-01,3,10,Oscilações de Mercado / Custo de Insumos,7664845.5267456,136,1.81,0.27
2021-05-01,8,1,Oscilações de Mercado / Custo de Insumos,15801895.797792103,15,1.81,0.27
2021-06-01,16,6,Oscilações de Mercado / Custo de Insumos,11684892.289342301,77,1.71,0.31
2021-07-01,3,1,Oscilações de Mercado / Custo de Insumos,5804909.446629499,35,1.74,0.36
2021-07-01,3,10,Oscilações de Mercado / Custo de Insumos,6342388.196722576,108,1.74,0.36
2021-08-01,15,3,Oscilações de Mercado / Custo de Insumos,33624014.45878246,256,1.72,0.43
2021-08-01,9,2,Oscilações de Mercado / Custo de Insumos,14196954.467559576,217,1.72,0.43
2021-10-01,11,11,Oscilações de Mercado / Custo de Insumos,21291392.865404136,169,1.68,0.49
2021-10-01,12,12,Oscilações de Mercado / Custo de Insumos,14742314.9628286,24,1.68,0.49
2021-12-01,2,11,Oscilações de Mercado / Custo de Insumos,27359182.470888212,213,1.63,0.77
2022-02-01,4,9,Estiagem Severa (Quebra de Grãos / Soja),18644649.766693436,50,1.61,0.76
2022-02-01,13,13,Oscilações de Mercado / Custo de Insumos,13226515.063345296,151,1.61,0.76
2022-04-01,10,11,Estiagem Severa (Quebra de Grãos / Soja),20993388.946908556,164,1.78,0.83
2022-04-01,12,12,Estiagem Severa (Quebra de Grãos / Soja),21997899.738140535,215,1.78,0.83
2022-07-01,9,4,Oscilações de Mercado / Custo de Insumos,12181540.89524966,137,1.86,1.03
2022-08-01,3,10,Oscilações de Mercado / Custo de Insumos,14791944.259063795,190,1.94,1.17
2022-10-01,12,12,Estiagem Severa (Quebra de Grãos / Soja),3317516.0666405153,207,2.17,1.02
2022-11-01,16,6,Oscilações de Mercado / Custo de Insumos,19629081.714357484,189,2.21,1.02
2022-11-01,4,9,Estiagem Severa (Quebra de Grãos / Soja),13127171.78731617,198,2.21,1.02
2022-11-01,12,12,Estiagem Severa (Quebra de Grãos / Soja),21714464.855078146,20,2.21,1.02
2023-01-01,2,11,Estiagem Severa (Quebra de Grãos / Soja),3161647.631668577,87,2.38,1.12
2023-02-01,7,1,Estiagem Severa (Quebra de Grãos / Soja),13161769.749657389,133,2.46,0.92
2023-03-01,15,3,Oscilações de Mercado / Custo de Insumos,17120860.744147707,290,2.54,1.17
2023-03-01,10,11,Estiagem Severa (Quebra de Grãos / Soja),25703919.6551573,200,2.54,1.17
2023-05-01,7,1,Estiagem Severa (Quebra de Grãos / Soja),2585308.0546641625,165,3.1,1.12
2023-06-01,14,1,Oscilações de Mercado / Custo de Insumos,11980222.253283057,161,3.15,1.07
2023-07-01,12,12,Estiagem Severa (Quebra de Grãos / Soja),6929383.224908908,35,3.34,1.07
2023-09-01,4,9,Estiagem Severa (Quebra de Grãos / Soja),7832449.612810193,157,3.52,0.97
2023-11-01,15,11,Oscilações de Mercado / Custo de Insumos,21937314.88545892,118,3.75,0.92
2023-11-01,3,1,Oscilações de Mercado / Custo de Insumos,15154775.264894491,215,3.75,0.92
2023-11-01,8,5,Oscilações de Mercado / Custo de Insumos,26181594.623670608,26,3.75,0.92
2023-11-01,9,4,Oscilações de Mercado / Custo de Insumos,20701258.16401277,172,3.75,0.92
2023-12-01,15,3,Oscilações de Mercado / Custo de Insumos,45749654.53799088,275,3.31,0.89
2023-12-01,12,12,Estiagem Severa (Quebra de Grãos / Soja),21838016.783658482,94,3.31,0.89
2023-12-01,9,2,Oscilações de Mercado / Custo de Insumos,9077118.742230643,160,3.31,0.89
2024-01-01,15,3,Atraso de Transplante e Perda de Estufas,21098689.23269896,251,3.57,0.97
2024-01-01,15,11,Oscilações de Mercado / Custo de Insumos,3407360.230299506,45,3.57,0.97
2024-02-01,7,1,Oscilações de Mercado / Custo de Insumos,18727561.23471771,202,3.56,0.8
2024-03-01,15,11,Oscilações de Mercado / Custo de Insumos,21120764.740502924,83,3.45,0.83
2024-03-01,2,11,Oscilações de Mercado / Custo de Insumos,16199940.34543582,19,3.45,0.83
2024-09-01,7,1,Oscilações de Mercado / Custo de Insumos,10057965.452750806,210,3.19,0.84
2024-09-01,6,8,Oscilações de Mercado / Custo de Insumos,27040934.17639502,217,3.19,0.84
2024-12-01,15,3,Atraso de Transplante e Perda de Estufas,23694531.10442365,303,2.77,0.93
2024-12-01,3,1,Oscilações de Mercado / Custo de Insumos,27470300.395788472,116,2.77,0.93
2025-03-01,7,1,Oscilações de Mercado / Custo de Insumos,9236305.31201623,134,3.2,0.96
2025-03-01,11,11,Oscilações de Mercado / Custo de Insumos,20932449.05376182,201,3.2,0.96
2025-04-01,3,1,Oscilações de Mercado / Custo de Insumos,11874196.78429409,18,3.48,1.06
2025-04-01,13,13,Oscilações de Mercado / Custo de Insumos,8915101.636477243,208,3.48,1.06
2025-04-01,8,1,Oscilações de Mercado / Custo de Insumos,14179325.901170656,75,3.48,1.06
2025-06-01,16,6,Oscilações de Mercado / Custo de Insumos,1841005.7560165902,211,3.51,1.1
2025-06-01,3,10,Oscilações de Mercado / Custo de Insumos,19316603.344140347,16,3.51,1.1
2025-06-01,14,1,Oscilações de Mercado / Custo de Insumos,17353912.729663707,65,3.51,1.1
2025-07-01,15,11,Oscilações de Mercado / Custo de Insumos,27771096.54042119,158,3.71,1.28
2025-07-01,3,1,Oscilações de Mercado / Custo de Insumos,16014400.455544988,133,3.71,1.28
2025-09-01,6,8,Oscilações de Mercado / Custo de Insumos,15992666.085142106,155,3.65,1.22
2025-10-01,16,8,Oscilações de Mercado / Custo de Insumos,2833839.7617415623,22,3.72,1.28
2025-11-01,15,3,Atraso de Transplante e Perda de Estufas,35249171.13315949,285,3.57,1.05
2025-11-01,10,11,Oscilações de Mercado / Custo de Insumos,13305725.195804205,187,3.57,1.05
2025-11-01,11,11,Oscilações de Mercado / Custo de Insumos,8508446.205749802,52,3.57,1.05
2025-11-01,6,8,Oscilações de Mercado / Custo de Insumos,15173331.211910885,83,3.57,1.05
2025-12-01,16,6,Oscilações de Mercado / Custo de Insumos,23000599.083842613,142,3.49,1.22
2025-12-01,2,11,Oscilações de Mercado / Custo de Insumos,1959525.2038837837,48,3.49,1.22
2026-01-01,3,1,Oscilações de Mercado / Custo de Insumos,13935125.178885154,28,3.76,1.16
2026-03-01,16,6,Oscilações de Mercado / Custo de Insumos,11233322.206605632,159,3.92,1.21
2026-03-01,7,1,Oscilações de Mercado / Custo de Insumos,14270354.552505385,55,3.92,1.21
2026-03-01,14,1,Oscilações de Mercado / Custo de Insumos,5093975.847596327,21,3.92,1.21
2026-05-01,2,11,Oscilações de Mercado / Custo de Insumos,26894092.78589094,18,4.11,1.07
2026-06-01,9,4,Oscilações de Mercado / Custo de Insumos,22580343.298714574,89,3.98,1.12
2026-07-01,7,1,Oscilações de Mercado / Custo de Insumos,25887949.999804024,103,4.19,1.22
2026-07-01,3,1,Oscilações de Mercado / Custo de Insumos,27405467.189377397,94,4.19,1.22
2026-07-01,14,1,Oscilações de Mercado / Custo de Insumos,16605235.186262215,98,4.19,1.22
2026-08-01,4,9,Oscilações de Mercado / Custo de Insumos,5829744.045610124,23,3.2,0.85
2026-08-01,3,10,Oscilações de Mercado / Custo de Insumos,22433786.049500015,31,3.2,0.85
2026-09-01,5,7,Oscilações de Mercado / Custo de Insumos,7225386.201324407,60,3.2,0.85
2026-10-01,12,12,Oscilações de Mercado / Custo de Insumos,2064373.8952524478,180,3.2,0.85
2026-11-01,4,9,Oscilações de Mercado / Custo de Insumos,17560711.637655392,31,3.2,0.85
2026-11-01,14,1,Oscilações de Mercado / Custo de Insumos,20899303.81538239,136,3.2,0.85
2020-01-01,12,12,Oscilações de Mercado / Custo de Insumos,9771146.765539888,175,2.41,0.38
2020-01-01,1,11,Oscilações de Mercado / Custo de Insumos,1985137.196756596,36,2.41,0.38
2020-01-01,8,1,Oscilações de Mercado / Custo de Insumos,6267732.040607038,149,2.41,0.38
2020-02-01,10,11,Oscilações de Mercado / Custo de Insumos,8580035.517920442,95,2.38,0.29
2020-02-01,7,1,Oscilações de Mercado / Custo de Insumos,21590468.950322494,118,2.38,0.29
2020-02-01,4,9,Oscilações de Mercado / Custo de Insumos,7248071.567146547,148,2.38,0.29
2020-02-01,1,11,Oscilações de Mercado / Custo de Insumos,26078462.28379741,204,2.38,0.29
2020-03-01,16,6,Oscilações de Mercado / Custo de Insumos,25771943.499247056,55,2.44,0.34
2020-03-01,8,5,Oscilações de Mercado / Custo de Insumos,16557819.985781252,66,2.44,0.34
2020-04-01,7,1,Oscilações de Mercado / Custo de Insumos,12712560.634203594,58,2.48,0.28
2020-04-01,9,4,Oscilações de Mercado / Custo de Insumos,5679877.564779077,127,2.48,0.28
2020-05-01,15,11,Oscilações de Mercado / Custo de Insumos,2665929.201994368,68,2.49,0.24
2020-08-01,16,8,Oscilações de Mercado / Custo de Insumos,3644902.6282580504,118,1.74,0.16
2020-09-01,4,9,Oscilações de Mercado / Custo de Insumos,23861004.565313913,210,1.66,0.16
2020-09-01,14,1,Oscilações de Mercado / Custo de Insumos,20034524.19965489,141,1.66,0.16
2020-10-01,2,11,Oscilações de Mercado / Custo de Insumos,26667618.16769431,24,1.59,0.16
2020-10-01,8,5,Oscilações de Mercado / Custo de Insumos,3648901.1818912616,30,1.59,0.16
2020-10-01,9,4,Oscilações de Mercado / Custo de Insumos,16877423.46034803,98,1.59,0.16
2020-11-01,15,3,Oscilações de Mercado / Custo de Insumos,30628442.222682387,239,1.6,0.15
2020-11-01,4,9,Oscilações de Mercado / Custo de Insumos,2277411.832070603,60,1.6,0.15
2020-12-01,4,9,Oscilações de Mercado / Custo de Insumos,26913787.218339797,154,1.52,0.16
2021-02-01,16,8,Oscilações de Mercado / Custo de Insumos,15625769.058061056,94,1.65,0.13
2021-02-01,10,11,Oscilações de Mercado / Custo de Insumos,16310982.251314605,178,1.65,0.13
2021-02-01,6,8,Oscilações de Mercado / Custo de Insumos,18242021.69820246,15,1.65,0.13
2021-02-01,3,1,Oscilações de Mercado / Custo de Insumos,26700780.88280584,88,1.65,0.13
2021-03-01,6,8,Oscilações de Mercado / Custo de Insumos,27666634.588051546,160,1.72,0.2
2021-05-01,2,11,Oscilações de Mercado / Custo de Insumos,15299184.637442324,209,1.81,0.27
2021-07-01,9,4,Oscilações de Mercado / Custo de Insumos,24476286.698422283,89,1.74,0.36
2021-08-01,5,7,Oscilações de Mercado / Custo de Insumos,7085338.113052179,186,1.72,0.43
2021-08-01,8,1,Oscilações de Mercado / Custo de Insumos,21717969.92910979,87,1.72,0.43
2021-10-01,10,11,Oscilações de Mercado / Custo de Insumos,18045906.205327056,125,1.68,0.49
2021-11-01,15,3,Oscilações de Mercado / Custo de Insumos,23076442.657285202,236,1.73,0.59
2021-12-01,3,1,Oscilações de Mercado / Custo de Insumos,19184679.146837816,128,1.63,0.77
2022-01-01,9,4,Oscilações de Mercado / Custo de Insumos,22939473.902819753,134,1.69,0.73
2022-02-01,11,11,Estiagem Severa (Quebra de Grãos / Soja),25187998.83021674,96,1.61,0.76
2022-02-01,8,5,Oscilações de Mercado / Custo de Insumos,27616623.58073345,134,1.61,0.76
2022-03-01,16,8,Oscilações de Mercado / Custo de Insumos,5265636.731483656,18,1.77,0.93
2022-03-01,10,11,Estiagem Severa (Quebra de Grãos / Soja),2281835.7255436284,51,1.77,0.93
2022-03-01,7,1,Estiagem Severa (Quebra de Grãos / Soja),15677135.980763124,160,1.77,0.93
2022-03-01,3,10,Oscilações de Mercado / Custo de Insumos,6394727.499934379,67,1.77,0.93
2022-03-01,8,5,Oscilações de Mercado / Custo de Insumos,11071430.065904737,78,1.77,0.93
2022-04-01,4,9,Estiagem Severa (Quebra de Grãos / Soja),6044763.6007595165,162,1.78,0.83
2022-05-01,3,10,Oscilações de Mercado / Custo de Insumos,26539782.014771968,73,1.79,1.03
2022-06-01,3,10,Oscilações de Mercado / Custo de Insumos,17015838.829355985,199,1.76,1.02
2022-06-01,8,1,Oscilações de Mercado / Custo de Insumos,4694421.7640425395,191,1.76,1.02
2022-07-01,4,9,Estiagem Severa (Quebra de Grãos / Soja),24832899.658128716,53,1.86,1.03
2022-10-01,15,11,Oscilações de Mercado / Custo de Insumos,15981184.36131409,213,2.17,1.02
2022-11-01,15,11,Oscilações de Mercado / Custo de Insumos,19974474.315475002,43,2.21,1.02
2022-11-01,3,10,Oscilações de Mercado / Custo de Insumos,20531009.853298888,39,2.21,1.02
2023-01-01,3,1,Oscilações de Mercado / Custo de Insumos,17383147.899275728,148,2.38,1.12
2023-02-01,15,11,Oscilações de Mercado / Custo de Insumos,8274104.731065837,26,2.46,0.92
2023-02-01,13,13,Oscilações de Mercado / Custo de Insumos,23819853.04445566,111,2.46,0.92
2023-03-01,16,6,Oscilações de Mercado / Custo de Insumos,27793892.888125617,184,2.54,1.17
2023-04-01,5,7,Oscilações de Mercado / Custo de Insumos,3295675.6295400495,92,2.9,0.92
2023-04-01,8,1,Oscilações de Mercado / Custo de Insumos,13647614.541026004,49,2.9,0.92
2023-05-01,15,11,Oscilações de Mercado / Custo de Insumos,27295160.999443077,64,3.1,1.12
2023-06-01,13,13,Oscilações de Mercado / Custo de Insumos,18805756.0604131,68,3.15,1.07
2023-08-01,9,4,Oscilações de Mercado / Custo de Insumos,19391326.341702096,74,3.5,1.14
2023-09-01,16,8,Oscilações de Mercado / Custo de Insumos,7963172.321812002,189,3.52,0.97
2023-09-01,8,5,Oscilações de Mercado / Custo de Insumos,16953737.22556792,116,3.52,0.97
2023-10-01,4,9,Estiagem Severa (Quebra de Grãos / Soja),10297544.33162284,58,3.67,1
2023-10-01,3,1,Oscilações de Mercado / Custo de Insumos,10539522.19617165,44,3.67,1
2023-10-01,13,13,Oscilações de Mercado / Custo de Insumos,26995642.282016106,50,3.67,1
2023-11-01,12,12,Estiagem Severa (Quebra de Grãos / Soja),11779829.568387866,80,3.75,0.92
2024-01-01,8,5,Oscilações de Mercado / Custo de Insumos,15568221.095578369,21,3.57,0.97
2024-02-01,6,8,Oscilações de Mercado / Custo de Insumos,24454102.274078943,210,3.56,0.8
2024-02-01,14,1,Oscilações de Mercado / Custo de Insumos,9119434.10508957,43,3.56,0.8
2024-03-01,8,5,Oscilações de Mercado / Custo de Insumos,27370960.259488363,167,3.45,0.83
2024-04-01,3,1,Oscilações de Mercado / Custo de Insumos,26121919.360632718,172,3.54,0.89
2024-04-01,8,1,Oscilações de Mercado / Custo de Insumos,7591860.332087685,155,3.54,0.89
2024-05-01,16,8,Enchentes Históricas / Calamidade Hídrica,15936372.976982234,36,3.54,0.83
2024-05-01,2,11,Oscilações de Mercado / Custo de Insumos,4256431.320913583,171,3.54,0.83
2024-05-01,8,5,Enchentes Históricas / Calamidade Hídrica,20833296.935960725,122,3.54,0.83
2024-05-01,9,2,Enchentes Históricas / Calamidade Hídrica,22761859.37991798,78,3.54,0.83
2024-06-01,9,2,Enchentes Históricas / Calamidade Hídrica,3499164.175453771,17,3.36,0.79
2024-07-01,15,11,Enchentes Históricas / Calamidade Hídrica,17576215.874175005,96,3.2,0.91
2024-09-01,10,11,Oscilações de Mercado / Custo de Insumos,5448228.723280993,121,3.19,0.84
2024-11-01,16,6,Oscilações de Mercado / Custo de Insumos,2511786.436109667,127,3.09,0.79
2024-11-01,13,13,Oscilações de Mercado / Custo de Insumos,16932946.186086327,55,3.09,0.79
2025-01-01,15,3,Atraso de Transplante e Perda de Estufas,39246703.648234,275,3.12,1.01
2025-02-01,4,9,Oscilações de Mercado / Custo de Insumos,6229924.043327004,165,3.26,0.99
2025-03-01,6,8,Oscilações de Mercado / Custo de Insumos,3061342.3026328604,55,3.2,0.96
2025-04-01,16,6,Oscilações de Mercado / Custo de Insumos,25659726.381200656,90,3.48,1.06
2025-04-01,14,1,Oscilações de Mercado / Custo de Insumos,3658424.062704864,180,3.48,1.06
2025-06-01,13,13,Oscilações de Mercado / Custo de Insumos,21446090.028235417,157,3.51,1.1
2025-07-01,2,11,Oscilações de Mercado / Custo de Insumos,17265481.225372784,136,3.71,1.28
2025-08-01,3,1,Oscilações de Mercado / Custo de Insumos,27267061.720210686,123,3.78,1.16
2025-10-01,4,9,Oscilações de Mercado / Custo de Insumos,20720152.768944733,112,3.72,1.28
2025-10-01,9,4,Oscilações de Mercado / Custo de Insumos,25234656.98879488,193,3.72,1.28
2026-01-01,2,11,Oscilações de Mercado / Custo de Insumos,23350411.612865955,124,3.76,1.16
2026-02-01,13,13,Oscilações de Mercado / Custo de Insumos,4139385.5425700108,193,4.01,1
2026-02-01,5,7,Oscilações de Mercado / Custo de Insumos,11956398.702937953,171,4.01,1
2026-02-01,9,2,Oscilações de Mercado / Custo de Insumos,27110444.634371344,115,4.01,1
