sk_tempo,ano,mes,ano_mes,safra_agricola,diagnostico_causa_risco
2020-05-01,2020,5,2020-05,2019/2020,Oscilações de Mercado / Custo de Insumos
2020-08-01,2020,8,2020-08,2020/2021,Oscilações de Mercado / Custo de Insumos
2022-07-01,2022,7,2022-07,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2022-11-01,2022,11,2022-11,2022/2023,Oscilações de Mercado / Custo de Insumos
2024-12-01,2024,12,2024-12,2024/2025,Oscilações de Mercado / Custo de Insumos
2026-04-01,2026,4,2026-04,2025/2026,Oscilações de Mercado / Custo de Insumos
2026-11-01,2026,11,2026-11,2026/2027,Oscilações de Mercado / Custo de Insumos
2020-09-01,2020,9,2020-09,2020/2021,Oscilações de Mercado / Custo de Insumos
2021-01-01,2021,1,2021-01,2020/2021,Oscilações de Mercado / Custo de Insumos
2022-04-01,2022,4,2022-04,2021/2022,Estiagem Severa (Quebra de Grãos / Soja)
2022-07-01,2022,7,2022-07,2022/2023,Oscilações de Mercado / Custo de Insumos
2023-10-01,2023,10,2023-10,2023/2024,Oscilações de Mercado / Custo de Insumos
2023-12-01,2023,12,2023-12,2023/2024,Estiagem Severa (Quebra de Grãos / Soja)
2025-11-01,2025,11,2025-11,2025/2026,Oscilações de Mercado / Custo de Insumos
2025-12-01,2025,12,2025-12,2025/2026,Atraso de Transplante e Perda de Estufas
2026-05-01,2026,5,2026-05,2025/2026,Atraso de Transplante e Perda de Estufas
2026-08-01,2026,8,2026-08,2026/2027,Atraso de Transplante e Perda de Estufas
2026-08-01,2026,8,2026-08,2026/2027,Oscilações de Mercado / Custo de Insumos
2026-10-01,2026,10,2026-10,2026/2027,Oscilações de Mercado / Custo de Insumos
2026-12-01,2026,12,2026-12,2026/2027,Oscilações de Mercado / Custo de Insumos
2021-07-01,2021,7,2021-07,2021/2022,Oscilações de Mercado / Custo de Insumos
2022-06-01,2022,6,2022-06,2021/2022,Estiagem Severa (Quebra de Grãos / Soja)
2022-09-01,2022,9,2022-09,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2023-08-01,2023,8,2023-08,2023/2024,Oscilações de Mercado / Custo de Insumos
2023-08-01,2023,8,2023-08,2023/2024,Estiagem Severa (Quebra de Grãos / Soja)
2023-11-01,2023,11,2023-11,2023/2024,Oscilações de Mercado / Custo de Insumos
2024-05-01,2024,5,2024-05,2023/2024,Oscilações de Mercado / Custo de Insumos
2024-09-01,2024,9,2024-09,2024/2025,Atraso de Transplante e Perda de Estufas
2025-06-01,2025,6,2025-06,2024/2025,Oscilações de Mercado / Custo de Insumos
2025-09-01,2025,9,2025-09,2025/2026,Atraso de Transplante e Perda de Estufas
2025-12-01,2025,12,2025-12,2025/2026,Oscilações de Mercado / Custo de Insumos
2026-06-01,2026,6,2026-06,2025/2026,Atraso de Transplante e Perda de Estufas
2020-06-01,2020,6,2020-06,2019/2020,Oscilações de Mercado / Custo de Insumos
2021-09-01,2021,9,2021-09,2021/2022,Oscilações de Mercado / Custo de Insumos
2023-01-01,2023,1,2023-01,2022/2023,Oscilações de Mercado / Custo de Insumos
2023-05-01,2023,5,2023-05,2022/2023,Oscilações de Mercado / Custo de Insumos
2023-06-01,2023,6,2023-06,2022/2023,Oscilações de Mercado / Custo de Insumos
2023-12-01,2023,12,2023-12,2023/2024,Oscilações de Mercado / Custo de Insumos
2024-01-01,2024,1,2024-01,2023/2024,Oscilações de Mercado / Custo de Insumos
2024-08-01,2024,8,2024-08,2024/2025,Enchentes Históricas / Calamidade Hídrica
2024-12-01,2024,12,2024-12,2024/2025,Atraso de Transplante e Perda de Estufas
2025-02-01,2025,2,2025-02,2024/2025,Oscilações de Mercado / Custo de Insumos
2025-03-01,2025,3,2025-03,2024/2025,Oscilações de Mercado / Custo de Insumos
2020-07-01,2020,7,2020-07,2020/2021,Oscilações de Mercado / Custo de Insumos
2021-12-01,2021,12,2021-12,2021/2022,Oscilações de Mercado / Custo de Insumos
2022-08-01,2022,8,2022-08,2022/2023,Oscilações de Mercado / Custo de Insumos
2022-09-01,2022,9,2022-09,2022/2023,Oscilações de Mercado / Custo de Insumos
2024-07-01,2024,7,2024-07,2024/2025,Oscilações de Mercado / Custo de Insumos
2024-11-01,2024,11,2024-11,2024/2025,Atraso de Transplante e Perda de Estufas
2022-02-01,2022,2,2022-02,2021/2022,Oscilações de Mercado / Custo de Insumos
2022-05-01,2022,5,2022-05,2021/2022,Estiagem Severa (Quebra de Grãos / Soja)
2023-01-01,2023,1,2023-01,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2023-02-01,2023,2,2023-02,2022/2023,Oscilações de Mercado / Custo de Insumos
2024-02-01,2024,2,2024-02,2023/2024,Atraso de Transplante e Perda de Estufas
2024-05-01,2024,5,2024-05,2023/2024,Enchentes Históricas / Calamidade Hídrica
2025-01-01,2025,1,2025-01,2024/2025,Oscilações de Mercado / Custo de Insumos
2025-04-01,2025,4,2025-04,2024/2025,Atraso de Transplante e Perda de Estufas
2025-09-01,2025,9,2025-09,2025/2026,Oscilações de Mercado / Custo de Insumos
2026-01-01,2026,1,2026-01,2025/2026,Atraso de Transplante e Perda de Estufas
2020-04-01,2020,4,2020-04,2019/2020,Oscilações de Mercado / Custo de Insumos
2020-11-01,2020,11,2020-11,2020/2021,Oscilações de Mercado / Custo de Insumos
2021-04-01,2021,4,2021-04,2020/2021,Oscilações de Mercado / Custo de Insumos
2024-03-01,2024,3,2024-03,2023/2024,Oscilações de Mercado / Custo de Insumos
2024-10-01,2024,10,2024-10,2024/2025,Atraso de Transplante e Perda de Estufas
2026-01-01,2026,1,2026-01,2025/2026,Oscilações de Mercado / Custo de Insumos
2026-02-01,2026,2,2026-02,2025/2026,Oscilações de Mercado / Custo de Insumos
2026-03-01,2026,3,2026-03,2025/2026,Atraso de Transplante e Perda de Estufas
2026-07-01,2026,7,2026-07,2026/2027,Oscilações de Mercado / Custo de Insumos
2026-10-01,2026,10,2026-10,2026/2027,Atraso de Transplante e Perda de Estufas
2026-12-01,2026,12,2026-12,2026/2027,Atraso de Transplante e Perda de Estufas
2023-03-01,2023,3,2023-03,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2023-06-01,2023,6,2023-06,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2023-07-01,2023,7,2023-07,2023/2024,Estiagem Severa (Quebra de Grãos / Soja)
2023-10-01,2023,10,2023-10,2023/2024,Estiagem Severa (Quebra de Grãos / Soja)
2024-10-01,2024,10,2024-10,2024/2025,Oscilações de Mercado / Custo de Insumos
2025-03-01,2025,3,2025-03,2024/2025,Atraso de Transplante e Perda de Estufas
2025-05-01,2025,5,2025-05,2024/2025,Oscilações de Mercado / Custo de Insumos
2025-08-01,2025,8,2025-08,2025/2026,Oscilações de Mercado / Custo de Insumos
2026-07-01,2026,7,2026-07,2026/2027,Atraso de Transplante e Perda de Estufas
